Index,cafes name,Overall_Rating,Cuisine,Rate for two,location,Review,Neighborhood,Ambiance,Dietary_Options,Seating_Type,Work_Friendly,Special_Features,Opening_Hours,Alternative_Milk_Options,Food_Menu,Contact Mails,Contact_Number
399,Narcos Cafe,2.5,"Cafe, Fast Food, Coffee, Beverages",500,bangalore,"This review is for the one at ITC factory, my second visit and is surely the last …they don’t even warm up the slice of cake plus old cakes sold at the counter , not a safe place to eat..nothing is available at the outlet it’s better you closed the property and don’t waste peoples time and money…",Old Town,Rustic,None,Both,No,Open Mic Nights,6 AM - 8 PM,None,"Pastries, Sandwiches, Salads",contact@narcoscafe.com,9.19E+11
400,Narcos Cafe,2.5,"Cafe, Fast Food, Coffee, Beverages",500,bangalore,"They claim to be open for breakfast at 9am. We went at 10am & the place was not even clean. For the size of the restaurant, they just had 1 person doing everything. Service was pathetic. Table wasn’t clean, no cutlery, no tissues, no one to to hep. ",Old Town,Cozy,Gluten-free options,Outdoor,Yes,Board Games,7 AM - 10 PM,Oat,Full Breakfast & Lunch,contact@narcoscafe.com,9.18E+11
401,Narcos Cafe,2.5,"Cafe, Fast Food, Coffee, Beverages",500,bangalore,Liked the ambience but the service was quite late and food was almost cold by then. Taste is quite good in many dishes.,Downtown,Rustic,None,Outdoor,Yes,Live Music,7 AM - 10 PM,Almond,Vegan & Organic Food,contact@narcoscafe.com,9.17E+11
402,Isobel,-,"Cafe, Continental, Italian, Beverages",700,bangalore,"Such a cute place perfect for coffee lovers! I just loved the interiors... they were so pleasant! They have outdoor and indoor seating with tables and chairs outside and sofa chairs inside. The sofa chairs are very pretty with good cushioning which makes seating comfortable. There are plastic vibes and pink flowers adorning the ceiling and windows. The glass display has pastries, cheesecake, croissants, etc. The menu has ice coffee, cold coffee, frappe, milkshakes, hot coffee, etc. The food menu includes starters like bruschetta, bagels, sandwiches, etc and mains like pizza, pasta. We ordered tiramisu latte and classic cold coffee and both were good, with right sweetness and consistency....read more",Riverside,Cozy,Gluten-free options,Outdoor,No,Live Music,9 AM - 9 PM,Coconut,Only Beverages,contact@isobel.com,9.20E+11
403,Cafe Vishala,-,"Cafe, Coffee, Fast Food, Pasta, Sandwich, Beverages",550,bangalore,"If you don’t want to have processed food, then please have it from this place, much recommended from me.",Riverside,Modern,Vegan-friendly,Indoor,No,Board Games,8 AM - 11 PM,Oat,Full Breakfast & Lunch,contact@cafevishala.com,9.20E+11
404,Cafe Vishala,-,"Cafe, Coffee, Fast Food, Pasta, Sandwich, Beverages",550,bangalore,Cold and very badly handled food,City Center,Modern,Gluten-free options,Both,No,Pet-friendly,6 AM - 8 PM,Almond,"Pastries, Sandwiches, Salads",contact@cafevishala.com,9.20E+11
405,Caffeinate And Chill,3.9,"Cafe, Coffee, Shake, Beverages, Desserts",500,udaipur,Delicious,Riverside,Rustic,Keto-friendly,Both,No,Pet-friendly,8 AM - 11 PM,None,Only Beverages,contact@caffeinateandchill.com,9.17E+11
406,Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,nice food ,Downtown,Lively,None,Outdoor,No,None,8 AM - 11 PM,Soy,"Pastries, Sandwiches, Salads",contact@cosmobarandbistro.com,9.19E+11
407,Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,amazing food ,Riverside,Cozy,Vegan-friendly,Outdoor,Yes,None,6 AM - 8 PM,Oat,Only Beverages,contact@cosmobarandbistro.com,9.18E+11
408,Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,amazing test ,Old Town,Modern,None,Indoor,Yes,Open Mic Nights,9 AM - 9 PM,Oat,Vegan & Organic Food,contact@cosmobarandbistro.com,9.18E+11
409,Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,nice food ,City Center,Rustic,Keto-friendly,Both,Yes,None,7 AM - 10 PM,None,Only Beverages,contact@cosmobarandbistro.com,9.16E+11
410,Green Grotto Bistro,4.2,"Asian, Thai, Cafe, Sandwich, Pizza, Coffee, Desserts, Beverages",500,udaipur,good 👍,Suburb,Lively,Gluten-free options,Indoor,Yes,Pet-friendly,9 AM - 9 PM,Soy,"Pastries, Sandwiches, Salads",contact@greengrottobistro.com,9.18E+11
411,Yummy Yoga,4.5,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages","1,000",udaipur,your food is very bad and jo order dete h uske opposite milta h ,City Center,Lively,Gluten-free options,Outdoor,No,Open Mic Nights,9 AM - 9 PM,Almond,Only Beverages,contact@yummyyoga.com,9.19E+11
412,Yummy Yoga,4.5,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages","1,000",udaipur,The glass bottle was broken so coudent drink the shake,Old Town,Quiet,None,Outdoor,Yes,Live Music,8 AM - 11 PM,Coconut,Only Beverages,contact@yummyyoga.com,9.18E+11
413,Yummy Yoga,4.5,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages","1,000",udaipur,I would have rated food but nothing was delivered except 4 servings of maggi,Riverside,Modern,None,Both,Yes,Board Games,8 AM - 11 PM,Soy,"Pastries, Sandwiches, Salads",contact@yummyyoga.com,9.20E+11
414,Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,Waste of time and money. Takes more than an hour for service even with late night ‘minimum rush hours’ . Its been the fourth experience (giving multiple chances). Sad to see waste of a beautiful space at FS!,City Center,Modern,None,Indoor,No,None,7 AM - 10 PM,Soy,Only Beverages,contact@sevenlakescafeandrestaurant.com,9.18E+11
415,Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,Amazing ambience. Great food. Beautiful view. The staff was cordial and  the service time was also appropriate.,Suburb,Lively,Keto-friendly,Outdoor,No,None,9 AM - 9 PM,Coconut,"Pastries, Sandwiches, Salads",contact@sevenlakescafeandrestaurant.com,9.17E+11
416,Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,Good place to eat and hang out. The staff was amazing.,Old Town,Rustic,None,Both,No,Live Music,6 AM - 8 PM,None,Full Breakfast & Lunch,contact@sevenlakescafeandrestaurant.com,9.19E+11
417,Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,"very poor service. had to wait lot of time for a small order. staff is non cooperative. despite a good view from the cafe, the services sploit it all. not recommended",Downtown,Cozy,Gluten-free options,Outdoor,No,Pet-friendly,8 AM - 11 PM,Soy,Full Breakfast & Lunch,contact@sevenlakescafeandrestaurant.com,9.18E+11
418,Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,"If you're looking for a breathtaking view of the lake, look no further than the best rooftop restaurant. This restaurant offers a stunning view of the lake and surrounding area, making it a perfect place to enjoy a meal or night out. The food and service are top-notch, making it an experience you won't soon forget. Whether you're looking for a romantic night out or a fun night with friends, this is the place for you.The real star of the show is the sunset,setting sun gives the lake an otherworldly look as it dances across the water's surface Don't miss out on this magical experience!",City Center,Lively,Vegan-friendly,Outdoor,Yes,Open Mic Nights,9 AM - 9 PM,Almond,Only Beverages,contact@sevenlakescafeandrestaurant.com,9.18E+11
419,The Chocolate Room,3.9,"Cafe, Coffee, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",750,udaipur,"Tasty food, nice place to chill with friends ",Suburb,Lively,Keto-friendly,Both,Yes,Board Games,8 AM - 11 PM,Soy,Only Beverages,contact@thechocolateroom.com,9.19E+11
420,Off White,3.4,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Pizza, Fast Food",650,udaipur,"Cute little white themed cafe, the space is very cosy and rates are reasonable too, must visit this picturesque location.",Suburb,Lively,Gluten-free options,Both,Yes,None,7 AM - 10 PM,Coconut,Full Breakfast & Lunch,contact@offwhite.com,9.20E+11
421,Off White,3.4,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Pizza, Fast Food",650,udaipur,This cafe is amazing and well organized...The food is amazing...music on your choice....Owner is very friendly...best thing books are already there so you can read and enjoy the ambiance and peace,City Center,Modern,None,Outdoor,No,Pet-friendly,9 AM - 9 PM,None,"Pastries, Sandwiches, Salads",contact@offwhite.com,9.20E+11
422,Gulaabo - The Customized Cafe,3.5,"Cafe, Coffee, Fast Food, Beverages",500,udaipur,"Good food. Staff isn't very familiar with the menu, but good taste. Coffee wasn't anything special but well made. Reliable taste. ",Old Town,Lively,Gluten-free options,Indoor,No,Pet-friendly,8 AM - 11 PM,Soy,Only Beverages,contact@gulaabo-thecustomizedcafe.com,9.16E+11
423,Gulaabo - The Customized Cafe,3.5,"Cafe, Coffee, Fast Food, Beverages",500,udaipur,"Not enough varieties available,Even basic cafe food is also not available Out of very short menu also a major menu part buns were not available Not worth ",Suburb,Modern,Keto-friendly,Indoor,No,None,9 AM - 9 PM,Coconut,"Pastries, Sandwiches, Salads",contact@gulaabo-thecustomizedcafe.com,9.19E+11
424,Gulaabo - The Customized Cafe,3.5,"Cafe, Coffee, Fast Food, Beverages",500,udaipur,"What a vibe ! Best words to describe the cafe . Awesome and many types of seating available outdoor as well as indoor . With a younger crowd which builds up as the evening approaches. The food service is quick. Scan the QR code and order through the phone. Ordered brownie shake which was thick and tasted good , cosmo tasted perfect as it should , the nachos were loaded with cheese and the pizza was actual cheese burst with a sweeter sauce in base . Must try while in the area and preferred duringPost afternoon / evening time to have the complete experience ",Riverside,Rustic,Vegan-friendly,Outdoor,No,Open Mic Nights,8 AM - 11 PM,Almond,"Pastries, Sandwiches, Salads",contact@gulaabo-thecustomizedcafe.com,9.16E+11
425,Cafe Cook Hook,4,"Cafe, Coffee, Tea, Beverages, Sandwich, Pizza, Fast Food, South Indian",700,udaipur,tast sbse bekar he pav jale hue diye,Suburb,Quiet,Gluten-free options,Both,Yes,Live Music,8 AM - 11 PM,Soy,Only Beverages,contact@cafecookhook.com,9.16E+11
426,Cafe Cook Hook,4,"Cafe, Coffee, Tea, Beverages, Sandwich, Pizza, Fast Food, South Indian",700,udaipur,no test over masala n it's too spicy ,Riverside,Modern,Vegan-friendly,Indoor,No,Pet-friendly,6 AM - 8 PM,None,Vegan & Organic Food,contact@cafecookhook.com,9.17E+11
427,Cafe Cook Hook,4,"Cafe, Coffee, Tea, Beverages, Sandwich, Pizza, Fast Food, South Indian",700,udaipur,worst experience,Old Town,Rustic,Vegan-friendly,Both,No,Live Music,6 AM - 8 PM,Oat,Full Breakfast & Lunch,contact@cafecookhook.com,9.18E+11
428,Z27 By Cafe Lake City,3.1,"Cafe, Chinese, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",800,udaipur,A never to visit place in udaipur,Suburb,Cozy,Keto-friendly,Outdoor,No,None,9 AM - 9 PM,Coconut,"Pastries, Sandwiches, Salads",contact@z27bycafelakecity.com,9.18E+11
429,Z27 By Cafe Lake City,3.1,"Cafe, Chinese, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",800,udaipur,I could say the worst restaurant in town. Always baised. Worst food and worst cakes. ,City Center,Cozy,Gluten-free options,Indoor,No,None,6 AM - 8 PM,Coconut,Full Breakfast & Lunch,contact@z27bycafelakecity.com,9.19E+11
430,Z27 By Cafe Lake City,3.1,"Cafe, Chinese, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",800,udaipur,Had tried this place earlier it was fine but today I ordered hot and spicy pizza which came like this so cold nd tasteless and packing was so bad. ,Old Town,Rustic,Gluten-free options,Indoor,Yes,Board Games,7 AM - 10 PM,None,Vegan & Organic Food,contact@z27bycafelakecity.com,9.19E+11
431,The Tick Tock Cafe & Restaurant,3.7,"Cafe, North Indian, Chinese, Sandwich, Fast Food, Desserts, Shake, Beverages",600,udaipur,too much Schezwan sauce and noodles not cooked properly ,City Center,Modern,Gluten-free options,Indoor,No,Open Mic Nights,9 AM - 9 PM,Soy,Only Beverages,contact@theticktockcafeandrestaurant.com,9.17E+11
432,The Tick Tock Cafe & Restaurant,3.7,"Cafe, North Indian, Chinese, Sandwich, Fast Food, Desserts, Shake, Beverages",600,udaipur,Pizza was ultimate in taste. panner chilly is also. Crispy corn is yummy,Downtown,Rustic,Vegan-friendly,Outdoor,No,Open Mic Nights,9 AM - 9 PM,Coconut,Vegan & Organic Food,contact@theticktockcafeandrestaurant.com,9.18E+11
433,The Tick Tock Cafe & Restaurant,3.7,"Cafe, North Indian, Chinese, Sandwich, Fast Food, Desserts, Shake, Beverages",600,udaipur,delicious food,Suburb,Rustic,Keto-friendly,Indoor,Yes,Live Music,7 AM - 10 PM,Oat,Only Beverages,contact@theticktockcafeandrestaurant.com,9.17E+11
434,Step 51 Rooftop Cafe,3.3,"Cafe, Pizza, Sandwich, Fast Food, Ice Cream, Desserts, Shake, Beverages",600,udaipur,"Had ordered sizzling brownie wid ice cream... When someone mention sizzling brownie in their menu, what you get is ur brownie to b served on a hot sizzling platter. 😑 But as this is not possible to be served via a delivey order, so u should correct your delivery menu and change it to normal brownie rather than the sizzling brownie. This was d biggest dissapointmnt coz at the price 💰of sizzling brownie wat u get is a normal brownie n scoop of ice cream 😣First of all talking about the packaging it was too good.. Brownie was packed in a separate box and vanilla ice cream in a separate cup. The ice cream was stiff till delivered nd not melted.Now talking about the taste- it was...read more",Downtown,Rustic,Keto-friendly,Both,No,Open Mic Nights,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@step51rooftopcafe.com,9.18E+11
435,Step 51 Rooftop Cafe,3.3,"Cafe, Pizza, Sandwich, Fast Food, Ice Cream, Desserts, Shake, Beverages",600,udaipur,Dont u guys know how to make a frikkin maggi????,City Center,Lively,Gluten-free options,Indoor,No,Open Mic Nights,6 AM - 8 PM,Soy,Only Beverages,contact@step51rooftopcafe.com,9.16E+11
436,Barista Coffee,4.1,"Cafe, Coffee, Desserts",700,jaipur,choco chip muffin was spoiled and wet.zomato didnt even issue any refund for thisworst response ever,Downtown,Quiet,None,Indoor,Yes,Live Music,7 AM - 10 PM,None,Vegan & Organic Food,contact@baristacoffee.com,9.18E+11
437,Camiano Patisserie & Brasserie,4.5,"Cafe, Coffee, Bakery, Sandwich, Italian, Healthy Food, Fast Food","1,100",jaipur,It seemed quite stale and the taste wasn’t good. As compared to the last time I tasted.,City Center,Cozy,None,Outdoor,No,Live Music,6 AM - 8 PM,None,Full Breakfast & Lunch,contact@camianopatisserieandbrasserie.com,9.18E+11
438,Kaleidoscope,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," A gastronomic adventure that left me spellbound. The Paneer Lababdar and Chilli Olive Kulcha were simply outstanding. The staff's professionalism and cooperative attitude enhanced the overall charm. The ambience strikes the perfect balance between elegance and comfort, creating a delightful setting for an unforgettable evening.",Suburb,Modern,Keto-friendly,Indoor,No,Open Mic Nights,7 AM - 10 PM,Oat,Vegan & Organic Food,contact@kaleidoscope.com,9.17E+11
439,Kaleidoscope,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," This restaurant is a true gem in the culinary world. The Chicken Fried Rice and Veg Chilli Garlic Noodles were a burst of flavors. The staff's warmth and efficient service made the evening truly special. The ambience is inviting, with comfortable seating that sets the stage for a wonderful dining experience.",City Center,Cozy,None,Indoor,Yes,Board Games,6 AM - 8 PM,Soy,Only Beverages,contact@kaleidoscope.com,9.18E+11
440,Kaleidoscope,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," Prepare to be amazed by the culinary delights at this restaurant. The Soya Chilli Chicken and Mushroom Do Pyaza were a symphony of flavors. The staff's friendliness and cooperative nature added to the overall charm. The ambience is inviting, with an elegant touch that enhances the dining journey.",City Center,Quiet,Vegan-friendly,Both,No,Open Mic Nights,8 AM - 11 PM,Almond,"Pastries, Sandwiches, Salads",contact@kaleidoscope.com,9.18E+11
441,Kaleidoscope,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," An evening at this restaurant is a journey into taste and elegance. The Chilli Jalapeno Chicken Tikka and Veggie and Cheese Slider were a gastronomic delight. The staff's attentiveness and prompt service made the evening even more enjoyable. The ambience strikes the perfect balance between sophistication and comfort, creating a perfect spot for a memorable dining experience.",Downtown,Rustic,None,Outdoor,Yes,Board Games,7 AM - 10 PM,Almond,"Pastries, Sandwiches, Salads",contact@kaleidoscope.com,9.17E+11
442,Kaleidoscope,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," This restaurant has truly won my heart with its exceptional dishes. The Vegetable Manchurian and Chicken Tikka Pizza were simply divine. The staff's cooperative nature and attentive service enhanced the dining experience. The ambience is cozy yet stylish, making it a perfect place to relax and indulge.",Old Town,Lively,None,Outdoor,Yes,Open Mic Nights,6 AM - 8 PM,Almond,Vegan & Organic Food,contact@kaleidoscope.com,9.20E+11
443,The Waffle Co.,3.9,"Waffle, Desserts, Pancake, Coffee, Cafe, Shake, Beverages",600,jaipur,Best Pancakes in Jaipur... A must try guys,Suburb,Cozy,Gluten-free options,Outdoor,No,Open Mic Nights,9 AM - 9 PM,Oat,Only Beverages,contact@thewaffleco..com,9.20E+11
444,The Waffle Co.,3.9,"Waffle, Desserts, Pancake, Coffee, Cafe, Shake, Beverages",600,jaipur,the portion size is really small. The waffle and pancakes were really small and not at all value for money. Wouldn't recommend wasting money here. instead make your waffles at home for less than 10 percent of amount ,Suburb,Rustic,Gluten-free options,Outdoor,Yes,None,8 AM - 11 PM,Coconut,Full Breakfast & Lunch,contact@thewaffleco..com,9.20E+11
445,Terra Gourmet,4.2,"Cafe, Coffee, Continental, Fast Food, Pasta, Lebanese, Asian, Burger",700,jaipur,"Had a nice meal after so long, so satisfying. Food is nice, staffs are great. Keep up the good work.",Old Town,Lively,Keto-friendly,Outdoor,Yes,Open Mic Nights,6 AM - 8 PM,Coconut,Full Breakfast & Lunch,contact@terragourmet.com,9.17E+11
446,Terra Gourmet,4.2,"Cafe, Coffee, Continental, Fast Food, Pasta, Lebanese, Asian, Burger",700,jaipur,good food and quality also good.,Suburb,Quiet,Vegan-friendly,Indoor,No,Pet-friendly,6 AM - 8 PM,Coconut,Full Breakfast & Lunch,contact@terragourmet.com,9.18E+11
447,Terra Gourmet,4.2,"Cafe, Coffee, Continental, Fast Food, Pasta, Lebanese, Asian, Burger",700,jaipur,I ordered a shushi uramaki that's really yummy 😋. I love it . staff also nice and helpful. ,Old Town,Rustic,Keto-friendly,Outdoor,Yes,Live Music,9 AM - 9 PM,Soy,Only Beverages,contact@terragourmet.com,9.17E+11
448,Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,the ambience was good. the guy hosting us Mr Yogi was also very polite and quick.food could have been better,Downtown,Modern,Gluten-free options,Indoor,No,None,6 AM - 8 PM,Almond,Only Beverages,contact@roasterycoffeehouse.com,9.17E+11
449,Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,The food was good and Yogi waited our tables with patience and care,Downtown,Rustic,Gluten-free options,Both,No,None,7 AM - 10 PM,Coconut,Only Beverages,contact@roasterycoffeehouse.com,9.17E+11
450,Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,Best service given by yogiThanks for best service,Old Town,Quiet,Gluten-free options,Both,No,Pet-friendly,9 AM - 9 PM,Almond,"Pastries, Sandwiches, Salads",contact@roasterycoffeehouse.com,9.17E+11
451,Roastery Coffee House,4.5,"Cafe, Coffee, Pizza, Burger, Pasta, Italian, Continental, Desserts",850,jaipur,"Mindblowing vibe, excellent food, a notch lower than best coffee and greatly served experience by Mr Yogi",City Center,Lively,Gluten-free options,Outdoor,Yes,Board Games,9 AM - 9 PM,Coconut,"Pastries, Sandwiches, Salads",contact@roasterycoffeehouse.com,9.19E+11
452,Bellissimo Home Cafe,New,"Cafe, Coffee, Fast Food, Pizza, Italian, Desserts, Beverages","1,000",jaipur,Visited this place for a friend’s birthday and must day it’s really aesthetic.Good food and polite staff.Must visit with family and friends,Suburb,Quiet,Keto-friendly,Outdoor,Yes,None,9 AM - 9 PM,None,"Pastries, Sandwiches, Salads",contact@bellissimohomecafe.com,9.17E+11
453,Chum-Bakk Cafe,4.3,"Cafe, North Indian, Fast Food, Continental, Italian, Mexican, Desserts, Beverages","1,200",jaipur,Modern looking cafe with lots of food options. Also this cafe had a open separate place at the back side for parties and birthdays. Their cappuccino is good enough to try.,Downtown,Cozy,Gluten-free options,Outdoor,Yes,Open Mic Nights,6 AM - 8 PM,Almond,Full Breakfast & Lunch,contact@chum-bakkcafe.com,9.16E+11
454,Chum-Bakk Cafe,4.3,"Cafe, North Indian, Fast Food, Continental, Italian, Mexican, Desserts, Beverages","1,200",jaipur,"service is good ,food is very tasty as we visited on friendship day me and my friends order pasta,Irish coffee, orange magarhita and many more all items are nicely prepared ",City Center,Lively,Vegan-friendly,Outdoor,Yes,Pet-friendly,7 AM - 10 PM,Almond,Vegan & Organic Food,contact@chum-bakkcafe.com,9.18E+11
455,Chum-Bakk Cafe,4.3,"Cafe, North Indian, Fast Food, Continental, Italian, Mexican, Desserts, Beverages","1,200",jaipur,"The food was ok, Order 4 different cold coffee, they gave us milk shakes with alot of flavour syrup, they don't know how to brew a good coffee. Service was so bad even after directing multiple time they weren't listening. horrible experience, would never visit.",City Center,Rustic,Keto-friendly,Outdoor,Yes,Open Mic Nights,7 AM - 10 PM,None,"Pastries, Sandwiches, Salads",contact@chum-bakkcafe.com,9.18E+11
456,Bombaye House,4.1,"Cafe, Chinese, Continental, South Indian, Street Food, Fast Food, Beverages",700,jaipur,We ordered rava masala dosas. The chutney was stale and smelled bad.,Suburb,Modern,Vegan-friendly,Outdoor,Yes,Pet-friendly,9 AM - 9 PM,Oat,Vegan & Organic Food,contact@bombayehouse.com,9.17E+11
457,Bombaye House,4.1,"Cafe, Chinese, Continental, South Indian, Street Food, Fast Food, Beverages",700,jaipur,1 chola bhatura missing ,Suburb,Cozy,Keto-friendly,Indoor,No,None,7 AM - 10 PM,None,"Pastries, Sandwiches, Salads",contact@bombayehouse.com,9.19E+11
458,Brown Sugar,4.2,"Cafe, Coffee, Bakery, Desserts, Pizza, Continental, North Indian, Chinese",500,jaipur,donuts was not hot at all.  they didn't heat it before sending ,Old Town,Lively,Vegan-friendly,Indoor,No,Pet-friendly,7 AM - 10 PM,Soy,Only Beverages,contact@brownsugar.com,9.17E+11
459,Brown Sugar,4.2,"Cafe, Coffee, Bakery, Desserts, Pizza, Continental, North Indian, Chinese",500,jaipur,Not good at all,City Center,Cozy,Gluten-free options,Indoor,Yes,Open Mic Nights,7 AM - 10 PM,Almond,Full Breakfast & Lunch,contact@brownsugar.com,9.19E+11
460,Brown Sugar,4.2,"Cafe, Coffee, Bakery, Desserts, Pizza, Continental, North Indian, Chinese",500,jaipur,dilevery boy diliver the food in bad condition...he said his bike slipped..,Suburb,Modern,Keto-friendly,Indoor,No,Board Games,6 AM - 8 PM,Soy,Only Beverages,contact@brownsugar.com,9.17E+11
461,Qissa Cafe,New,"Cafe, Coffee, Chinese, Pasta, Fast Food, Continental, Tea, Beverages",600,jaipur,"Beautiful cafe with great food , amazing atmosphere and great service. I will recommend Qissa at anytime.",Riverside,Modern,None,Indoor,Yes,Open Mic Nights,7 AM - 10 PM,None,Vegan & Organic Food,contact@qissacafe.com,9.20E+11
462,Qissa Cafe,New,"Cafe, Coffee, Chinese, Pasta, Fast Food, Continental, Tea, Beverages",600,jaipur,"This cozy restaurant has left the best impressions! Hospitable hosts, delicious dishes, beautiful presentation. The ambience is really welcoming. Must visit place. ",Old Town,Lively,Keto-friendly,Indoor,No,Board Games,8 AM - 11 PM,None,Vegan & Organic Food,contact@qissacafe.com,9.19E+11
463,Qissa Cafe,New,"Cafe, Coffee, Chinese, Pasta, Fast Food, Continental, Tea, Beverages",600,jaipur,First time in Qissa cafe and YOU have to go! It’s the cutest little spot with amazing food. The pasta is to die for. IT WAS FIRE!! The service we received was so amazing and we will definitely be back again. They made us feel welcomed and gave us an amazing experience.,City Center,Quiet,Keto-friendly,Outdoor,No,Pet-friendly,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@qissacafe.com,9.16E+11
464,Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,Good Food + Good Conversations kinda place. One of the nicer Italian restaurants in Jaipur. Amazing food and chill vibe. I just loved the pasta and pizza. The dessert just melted in the mouth. You can spend hours here with your food as the ambience is perfect for conversations. Visit for a fun lunch with Girls or late night meal.,Riverside,Cozy,Vegan-friendly,Outdoor,Yes,None,8 AM - 11 PM,Oat,Full Breakfast & Lunch,contact@zolocrust-hotelclarksamer.com,9.17E+11
465,Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"Let me start by telling everyone that im a pizza lover. I really wanted to try this place out because its reviews were really good but it was quite expensive so waited for the right time.I would say it wasn’t up to the mark as what I expected. The sauce on the pizza was negligible and the cheese I personally didnt like . The vegetables were great as they weren’t chewy and melted just after biting them. The crust was thin, crispy and light which was tasty. BUT the overall combination of the pizza didnt justify the worth (1200/-)nor the taste.The pasta was tasty but the bread that came with it was chewy as hell i would so INEDIBLE .",Downtown,Cozy,None,Indoor,No,Live Music,8 AM - 11 PM,None,"Pastries, Sandwiches, Salads",contact@zolocrust-hotelclarksamer.com,9.19E+11
466,Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"Tastes amazing; however, spills toppings as you have a morsel. Ate base and veggies separately 😀",Old Town,Modern,Gluten-free options,Both,No,Live Music,6 AM - 8 PM,Coconut,Vegan & Organic Food,contact@zolocrust-hotelclarksamer.com,9.17E+11
467,Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"When I first came across Zolocrust I was amazed to see a 4.9 rating on Zomato and was wondering how is it possible?After visiting this gem of a Cafe and indulging in their fresh and delicious pizzas, falafel wraps and irresistible aromatic coffee, I am now wondering why they don't have a perfect 5 rating!!I can say it's the best pizza I have had in India, with thin crust just at the right crispness and a perfect balance between cheese and veggie toppings.Ambience is warm and cozy and they also have a small kids play area to keep your lil ones busy, once they are done licking their fingers clean after indulging in delicious food.In short, Zolocrust is serving perfection and I would...read more",Downtown,Cozy,Gluten-free options,Outdoor,No,Pet-friendly,7 AM - 10 PM,Oat,Only Beverages,contact@zolocrust-hotelclarksamer.com,9.17E+11
468,Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"Pretty underwhelming to say the least.Started off with Rice noodles with Amazon air toast. The noodles were ironically lacking of any taste whatsoever. The Amazon pockets were good.Aglio oglio was the safest last choice and ended up being the biggest disappointment for the price point and quantity which was falling throughout.In desserts, chocolate truffle was good and cupcake was below par. Orange juice and lemon iced tea were good.Portion size for all food items was quite small.Wouldn't recommend.",Old Town,Rustic,Vegan-friendly,Indoor,Yes,None,6 AM - 8 PM,Soy,Only Beverages,contact@zolocrust-hotelclarksamer.com,9.19E+11
